country,sex,measure,model,year,projection,PI_lower,PI_upper
China,Male,ASPR,APC,2044,9719.418607260839,9512.056667182005,9931.301018116683
China,Male,ASPR,APC,2045,9792.462821458594,9583.542497017523,10005.937589309096
China,Male,ASPR,APC,2046,9867.288162509181,9656.771453704574,10082.394115752097
China,Male,ASPR,APC,2047,9943.927001594464,9731.775217792032,10160.703674316264
China,Male,ASPR,APC,2048,10022.412641379464,9808.586381438923,10240.900293661583
China,Male,ASPR,APC,2049,10102.77933995325,9887.238471844526,10323.01897870024
China,Male,ASPR,APC,2050,10185.0623355489,9967.765975440949,10407.095735855479
China,Male,ASPR,APC,2051,10269.297872078023,10050.20436288286,10493.167599152768
China,Male,ASPR,APC,2052,10355.523225506335,10134.590114860368,10581.272657170368
China,Male,ASPR,APC,2053,10443.776731082358,10220.960748746791,10671.450080861614
China,Male,ASIR,ARIMA,2024,682.5223325978546,679.8528199324737,685.1918452632356
China,Male,ASIR,ARIMA,2025,660.2026681502692,649.67842020341,670.7269160971284
China,Male,ASIR,ARIMA,2026,637.8830037026838,615.1864243046308,660.5795831007368
China,Male,ASIR,ARIMA,2027,615.5633392550984,577.914689780199,653.2119887299979
China,Male,ASIR,ARIMA,2028,593.243674807513,538.3365913626615,648.1507582523645
China,Male,ASIR,ARIMA,2029,570.9240103599276,496.73232971702794,645.1156910028272
China,Male,ASIR,ARIMA,2030,548.6043459123422,453.29724468312656,643.9114471415578
China,Male,ASIR,ARIMA,2031,526.2846814647568,408.1784929666451,644.3908699628685
China,Male,ASIR,ARIMA,2032,503.9650170171713,361.4923534217911,646.4376806125515
China,Male,ASIR,ARIMA,2033,481.64535256958584,313.33380329032116,649.9569018488505
China,Male,ASIR,ARIMA,2034,459.3256881220004,263.7823559604021,654.8690202835986
China,Male,ASIR,ARIMA,2035,437.0060236744149,212.9058652339877,661.1061821148421
China,Male,ASIR,ARIMA,2036,414.68635922682944,160.76313038371168,668.6095880699472
China,Male,ASIR,ARIMA,2037,392.36669477924397,107.40575026760001,677.3276392908879
China,Male,ASIR,ARIMA,2038,370.0470303316585,52.879484686735964,687.214575976581
China,Male,ASIR,ARIMA,2039,347.72736588407304,-2.774720031716299,698.2294517998623
China,Male,ASIR,ARIMA,2040,325.40770143648757,-59.519941510199374,710.3353443831745
China,Male,ASIR,ARIMA,2041,303.0880369889021,-117.32266217892351,723.4987361567278
China,Male,ASIR,ARIMA,2042,280.76837254131664,-176.15227591640047,737.6890209990338
China,Male,ASIR,ARIMA,2043,258.44870809373117,-235.98068937981316,752.8781055672755
China,Male,ASIR,ARIMA,2044,236.12904364614573,-296.7819958498585,769.04008314215
China,Male,ASIR,ARIMA,2045,213.8093791985603,-358.5322054550779,786.1509638521984
China,Male,ASIR,ARIMA,2046,191.48971475097485,-421.2090198260337,804.1884493279833
China,Male,ASIR,ARIMA,2047,169.17005030338942,-484.79164218848666,823.1317427952655
China,Male,ASIR,ARIMA,2048,146.85038585580398,-549.2606160342609,842.9613877458689
China,Male,ASIR,ARIMA,2049,124.53072140821854,-614.5976870660857,863.6591298825228
China,Male,ASIR,ARIMA,2050,102.2110569606331,-680.7856842687165,885.2077981899827
China,Male,ASIR,ARIMA,2051,79.89139251304766,-747.8084168280544,907.5912018541497
China,Male,ASIR,ARIMA,2052,57.571728065462224,-815.6505842818246,930.7940404127492
China,Male,ASIR,ARIMA,2053,35.252063617876786,-884.2976977948251,954.8018250305788
China,Male,ASIR,ETS,2024,693.4898728398716,689.4409654042944,697.5387802754489
China,Male,ASIR,ETS,2025,687.3077110931806,681.5816912849941,693.0337309013671
China,Male,ASIR,ETS,2026,681.1255493464896,674.1126359529266,688.1384627400527
China,Male,ASIR,ETS,2027,674.9433875997986,666.8455727286442,683.041202470953
China,Male,ASIR,ETS,2028,668.7612258531076,659.7075935925527,677.8148581136625
China,Male,ASIR,ETS,2029,662.5790641064166,652.6613068734918,672.4968213393414
China,Male,ASIR,ETS,2030,656.3969023597256,645.6845002036681,667.109304515783
China,Male,ASIR,ETS,2031,650.2147406130346,638.7627009966616,661.6667802294075
China,Male,ASIR,ETS,2032,644.0325788663436,631.885856559612,656.1793011730751
China,Male,ASIR,ETS,2033,637.8504171196525,625.0466475880372,650.6541866512679
China,Male,ASIR,ETS,2034,631.6682553729615,618.239548598272,645.0969621476511
China,Male,ASIR,ETS,2035,625.4860936262705,611.4602668391443,639.5119204133968
China,Male,ASIR,ETS,2036,619.3039318795795,604.7053885109985,633.9024752481605
China,Male,ASIR,ETS,2037,613.1217701328885,597.9721457181972,628.2713945475798
China,Male,ASIR,ETS,2038,606.9396083861975,591.2582573178717,622.6209594545234
China,Male,ASIR,ETS,2039,600.7574466395065,584.5618168971978,616.9530763818152
China,Male,ASIR,ETS,2040,594.5752848928155,577.881211867582,611.269357918049
China,Male,ASIR,ETS,2041,588.3931231461245,571.2150637215649,605.5711825706841
China,Male,ASIR,ETS,2042,582.2109613994335,564.5621830560021,599.8597397428648
China,Male,ASIR,ETS,2043,576.0287996527425,557.9215351316326,594.1360641738523
China,Male,ASIR,ETS,2044,569.8466379060515,551.2922131006495,588.4010627114534
China,Male,ASIR,ETS,2045,563.6644761593604,544.6734169134629,582.655535405258
China,Male,ASIR,ETS,2046,557.4823144126694,538.0644364981531,576.9001923271858
China,Male,ASIR,ETS,2047,551.3001526659784,531.4646382001288,571.1356671318281
China,Male,ASIR,ETS,2048,545.1179909192874,524.8734537414015,565.3625280971734
China,Male,ASIR,ETS,2049,538.9358291725964,518.2903711498575,559.5812871953353
China,Male,ASIR,ETS,2050,532.7536674259054,511.71492724521613,553.7924076065947
China,Male,ASIR,ETS,2051,526.5715056792144,505.1467013670994,547.9963099913294
China,Male,ASIR,ETS,2052,520.3893439325234,498.58531010310793,542.1933777619388
China,Male,ASIR,ETS,2053,514.2071821858324,492.0304028286722,536.3839615429926
China,Male,ASIR,APC,2024,712.4264271528906,698.7893214148244,726.329665539542
China,Male,ASIR,APC,2025,715.6343179889973,701.935807529179,729.6001594309439
China,Male,ASIR,APC,2026,718.92940485667,705.1678205883601,732.9595510134333
China,Male,ASIR,APC,2027,722.3127577355938,708.4864100907434,736.4089311477045
China,Male,ASIR,APC,2028,725.7854784478873,711.8926567676175,739.9494231583006
China,Male,ASIR,APC,2029,729.3487012552025,715.3876731688539,743.5821834423667
China,Male,ASIR,APC,2030,733.0035934748745,718.972604267263,747.3084020978234
China,Male,ASIR,APC,2031,736.7513561160184,722.6486280825148,751.1293035718776
China,Male,ASIR,APC,2032,740.593224535729,726.4169563247776,755.0461473300281
